Date,Total_Pop,Pop_5_24,Percent_5_24,Median_Age,Male_to_Female_Ratio,Pop_5_24_per1000,RUCA1,Income,Race,NDVI,TAVG,TMIN,TMAX,EHF,RH,Heat_Index,Discomfort_Index,Mental_Health,month,Day,Daily_Difference,TAVG_24hr_diff,TMAX_24hr_diff,TMIN_24hr_diff,Region,log_Total_Pop_per1000
2016-06-30,169921,47975,0.282337086057639,37.96,90.28,47.975,1,-0.1635807756,0.6061945652,0.444,26.9316666666667,21.52,32.335,0,72.9683333333333,29,25.0825311,4,6,5,10.815,0.616666666666667,1.96333333333333,-0.738333333333333,3,5.13533362315867
2016-07-01,169921,47975,0.282337086057639,37.96,90.28,47.975,1,-0.1635807756,0.6061945652,0.248,26.71125,22.9225,30.49375,0,78.5275,29,25.268830725,7,7,6,7.57125,-0.13375,-1.16125,0.895,3,5.13533362315867
2016-07-02,169921,47975,0.282337086057639,37.96,90.28,47.975,1,-0.1635807756,0.6061945652,0.256,25.71,22.65375,28.76125,0,84.87625,27,24.77738830625,11,7,7,6.1075,-0.625,-1.08625,-0.1625,3,5.13533362315867
2016-07-03,169921,47975,0.282337086057639,37.96,90.28,47.975,1,-0.1635807756,0.6061945652,0.27,28.734,25.062,32.408,0,75.736,33.2,26.8338534,5,7,1,7.346,1.509,1.812,1.209,3,5.13533362315867
2016-07-04,169921,47975,0.282337086057639,37.96,90.28,47.975,1,-0.1635807756,0.6061945652,0.246,28.70375,23.2625,34.15,0,75.21875,33.25,26.767816,8,7,2,10.8875,-0.02125,1.1025,-1.14375,3,5.13533362315867
2016-07-05,169921,47975,0.282337086057639,37.96,90.28,47.975,1,-0.1635807756,0.6061945652,0.294,29.69,26.25,33.132,0,77.152,36,27.78077334,17,7,3,6.882,0.495,-0.52,1.509,3,5.13533362315867
2016-07-06,169921,47975,0.282337086057639,37.96,90.28,47.975,1,-0.1635807756,0.6061945652,0.43,29.48125,23.91125,35.04875,0,70.68,33.75,27.0655230875,12,7,4,11.1375,-0.135,1.16375,-1.43625,3,5.13533362315867
2016-07-07,169921,47975,0.282337086057639,37.96,90.28,47.975,1,-0.1635807756,0.6061945652,0.368,29.3244444444444,23.5322222222222,35.1233333333333,0,65.6555555555556,32.5555555555556,26.5243147555556,10,7,5,11.5911111111111,-0.0677777777777778,0.08,-0.211111111111111,3,5.13533362315867
2016-07-08,169921,47975,0.282337086057639,37.96,90.28,47.975,1,-0.1635807756,0.6061945652,0.188,28.8575,22.97625,34.73875,0,68.06875,32,26.336025,10,7,6,11.7625,-0.30625,-0.26125,-0.355,3,5.13533362315867
2016-07-09,169921,47975,0.282337086057639,37.96,90.28,47.975,1,-0.1635807756,0.6061945652,0.44,29.21375,22.45,35.97625,0,67.65375,33,26.59611911875,10,7,7,13.52625,0.22125,0.795,-0.35375,3,5.13533362315867
2016-07-10,169921,47975,0.282337086057639,37.96,90.28,47.975,1,-0.1635807756,0.6061945652,0.202,29.082,23.616,34.548,0,69.724,33,26.65380357,11,7,1,10.932,-0.067,-0.722,0.589,3,5.13533362315867
2016-07-11,169921,47975,0.282337086057639,37.96,90.28,47.975,1,-0.1635807756,0.6061945652,0.272,28.5125,22.65625,34.365,0,68.90375,31.5,26.1139878125,11,7,2,11.70875,-0.39125,-0.1975,-0.5875,3,5.13533362315867
2016-07-12,169921,47975,0.282337086057639,37.96,90.28,47.975,1,-0.1635807756,0.6061945652,0.192,26.6066666666667,22.4183333333333,30.79,0,77.9216666666667,29,25.1365667166667,9,7,3,8.37166666666667,-1.53,-2.88666666666667,-0.173333333333333,3,5.13533362315867
2016-07-13,169921,47975,0.282337086057639,37.96,90.28,47.975,1,-0.1635807756,0.6061945652,0.222,27.7644444444444,23.9877777777778,31.54,0,79.4966666666667,31.5555555555556,26.2684202444444,16,7,4,7.55222222222222,0.636666666666667,0.41,0.864444444444444,3,5.13533362315867
2016-07-14,169921,47975,0.282337086057639,37.96,90.28,47.975,1,-0.1635807756,0.6061945652,0.218,30.3866666666667,25.4544444444444,35.3222222222222,0,66.9288888888889,35,27.4963664333333,9,7,5,9.86777777777778,1.44333333333333,2.07111111111111,0.818888888888889,3,5.13533362315867
2016-07-15,169921,47975,0.282337086057639,37.96,90.28,47.975,1,-0.1635807756,0.6061945652,0.282,30.374,25.462,35.286,0,69.558,35.8,27.71664277,5,7,6,9.824,0.005,0.026,-0.018,3,5.13533362315867
2016-07-16,169921,47975,0.282337086057639,37.96,90.28,47.975,1,-0.1635807756,0.6061945652,0.494,28.4728571428571,23.5014285714286,33.4457142857143,0,73.9685714285714,32.4285714285714,26.4724622,4,7,7,9.94428571428571,-1.07714285714286,-1.06142857142857,-1.09142857142857,3,5.13533362315867
2016-07-17,169921,47975,0.282337086057639,37.96,90.28,47.975,1,-0.1635807756,0.6061945652,0.36,26.8475,22.35625,31.335,0,80.6175,29.5,25.5308792,8,7,1,8.97875,-1.2325,-1.5225,-0.94625,3,5.13533362315867
2016-07-18,169921,47975,0.282337086057639,37.96,90.28,47.975,1,-0.1635807756,0.6061945652,0.334,26.835,22.105,31.56625,0,78.42,29,25.37078835,10,7,2,9.46125,-0.02375,0.11875,-0.1625,3,5.13533362315867
2016-07-19,169921,47975,0.282337086057639,37.96,90.28,47.975,1,-0.1635807756,0.6061945652,0.23,28.6611111111111,24.1077777777778,33.2122222222222,0,73.9,32.6666666666667,26.6275986777778,8,7,3,9.10444444444444,0.992222222222222,0.885555555555556,1.09666666666667,3,5.13533362315867
2016-07-20,169921,47975,0.282337086057639,37.96,90.28,47.975,1,-0.1635807756,0.6061945652,0.242,27.2744444444444,21.2555555555556,33.2888888888889,0,73.6877777777778,29.5555555555556,25.4254908055556,10,7,4,12.0333333333333,-0.743333333333333,0.0955555555555556,-1.58333333333333,3,5.13533362315867
2016-07-21,169921,47975,0.282337086057639,37.96,90.28,47.975,1,-0.1635807756,0.6061945652,0.184,27.268,21.912,32.62,0,73.472,29.6,25.40496982,14,7,5,10.708,-0.018,-0.35,0.314,3,5.13533362315867
2016-07-22,169921,47975,0.282337086057639,37.96,90.28,47.975,1,-0.1635807756,0.6061945652,0.176,26.9455555555556,21.3366666666667,32.5588888888889,0,72.2355555555556,29,25.0449985333333,15,7,6,11.2222222222222,-0.184444444444444,-0.04,-0.324444444444444,3,5.13533362315867
2016-07-23,169921,47975,0.282337086057639,37.96,90.28,47.975,1,-0.1635807756,0.6061945652,0.454,28.0344444444444,23.5944444444444,32.4766666666667,0,67.89,30.6666666666667,25.6435861944444,18,7,7,8.88222222222222,0.592222222222222,-0.0177777777777778,1.20111111111111,3,5.13533362315867
2016-07-24,169921,47975,0.282337086057639,37.96,90.28,47.975,1,-0.1635807756,0.6061945652,0.424,28.5055555555556,23.8544444444444,33.1555555555556,0,73.6588888888889,32.2222222222222,26.4754875277778,13,7,1,9.30111111111111,0.284444444444444,0.328888888888889,0.237777777777778,3,5.13533362315867
2016-07-25,169921,47975,0.282337086057639,37.96,90.28,47.975,1,-0.1635807756,0.6061945652,0.424,29.26875,24.755,33.78375,0,74.42,34,27.1906889875,11,7,2,9.02875,0.46875,0.45875,0.48,3,5.13533362315867
2016-07-26,169921,47975,0.282337086057639,37.96,90.28,47.975,1,-0.1635807756,0.6061945652,0.55,29.168,24.686,33.652,0.0448000000000028,71.012,33.2,26.82919518,11,7,3,8.966,-0.048,-0.095,-1.39265769055763e-18,3,5.13533362315867
2016-07-27,169921,47975,0.282337086057639,37.96,90.28,47.975,1,-0.1635807756,0.6061945652,0.556,30.1733333333333,26.0677777777778,34.2855555555556,0.72292592592593,68.5455555555556,35.2222222222222,27.4615565,12,7,4,8.21777777777778,0.567777777777778,0.375555555555556,0.762222222222222,3,5.13533362315867
2016-07-28,169921,47975,0.282337086057639,37.96,90.28,47.975,1,-0.1635807756,0.6061945652,0.508,31.64,26.518,36.766,0.862733333333334,66.06,38,28.44017128,11,7,5,10.248,0.725,1.219,0.23,3,5.13533362315867
2016-07-29,169921,47975,0.282337086057639,37.96,90.28,47.975,1,-0.1635807756,0.6061945652,0.438,31.3922222222222,26.4,36.3855555555556,0.685407407407409,63.7344444444445,36.7777777777778,28.0227769611111,6,7,6,9.98555555555556,-0.143333333333333,-0.244444444444444,-0.0444444444444444,3,5.13533362315867
2016-07-30,169921,47975,0.282337086057639,37.96,90.28,47.975,1,-0.1635807756,0.6061945652,0.498,30.612,25.866,35.356,0,66.74,35.6,27.66452811,11,7,7,9.49,-0.385,-0.485,-0.286,3,5.13533362315867
2016-07-31,169921,47975,0.282337086057639,37.96,90.28,47.975,1,-0.1635807756,0.6061945652,0.39,31.14875,26.09875,36.2025,0,67.4575,37.5,28.168028575,11,7,1,10.10375,0.34125,0.47,0.21625,3,5.13533362315867
2016-08-01,169921,47975,0.282337086057639,37.96,90.28,47.975,1,-0.1635807756,0.6061945652,0.54,29.465,25.0175,33.91375,0,73.86875,34.625,27.31281803125,12,8,2,8.89625,-1.07375,-1.41875,-0.73,3,5.13533362315867
2016-08-02,169921,47975,0.282337086057639,37.96,90.28,47.975,1,-0.1635807756,0.6061945652,0.422,28.182,23.3,33.066,0,75.628,31.8,26.34717811,11,8,3,9.766,-0.629,-0.386,-0.872,3,5.13533362315867
2016-08-03,169921,47975,0.282337086057639,37.96,90.28,47.975,1,-0.1635807756,0.6061945652,0.516,27.83,22.9542857142857,32.6985714285714,0,74.9071428571429,31,25.9900578142857,11,8,4,9.74428571428571,-0.252857142857143,-0.285714285714286,-0.225714285714286,3,5.13533362315867
2016-08-04,169921,47975,0.282337086057639,37.96,90.28,47.975,1,-0.1635807756,0.6061945652,0.574,26.8157142857143,23.4757142857143,30.1571428571429,0,80.2585714285714,29.4285714285714,25.4782714285714,15,8,5,6.68142857142857,-0.731428571428571,-1.81857142857143,0.36,3,5.13533362315867
2016-08-05,169921,47975,0.282337086057639,37.96,90.28,47.975,1,-0.1635807756,0.6061945652,0.534,27.06,23.0988888888889,31.0233333333333,0,80.3177777777778,30,25.7001533555556,10,8,6,7.92444444444444,0.143333333333333,0.485555555555556,-0.197777777777778,3,5.13533362315867
2016-08-06,169921,47975,0.282337086057639,37.96,90.28,47.975,1,-0.1635807756,0.6061945652,0.554,27.7766666666667,24.8055555555556,30.7533333333333,0,80.68,31.7777777777778,26.3657744,18,8,7,5.94777777777778,0.403333333333333,-0.141111111111111,0.95,3,5.13533362315867
2016-08-07,169921,47975,0.282337086057639,37.96,90.28,47.975,1,-0.1635807756,0.6061945652,0.562,29.294,25.772,32.816,0,75.496,34.6,27.29984542,10,8,1,7.044,0.753,1.038,0.465,3,5.13533362315867
